job-ID  prior   name       user         state submit/start at     queue                          slots ja-task-ID 
-----------------------------------------------------------------------------------------------------------------
 751242 2.04054 RunMolproJ zcaposm      dr    02/18/2025 09:06:26 Bran@node-d00a-214.myriad.ucl.     1        
 756718 2.04054 RunMolproJ zcaposm      r     02/20/2025 06:49:56 Bran@node-d00a-052.myriad.ucl.     1        
 756722 2.04054 RunMolproJ zcaposm      r     02/20/2025 07:09:25 Bran@node-d00a-014                 1        
 756723 2.04054 RunMolproJ zcaposm      r     02/20/2025 07:09:25 Bran@node-d00a-068.myriad.ucl.     1        
 756724 2.04054 RunMolproJ zcaposm      r     02/20/2025 07:09:26 Bran@node-d00a-132.myriad.ucl.     1        
 756726 2.04054 RunMolproJ zcaposm      r     02/20/2025 07:20:37 Bran@node-d00a-218.myriad.ucl.     1        
 756727 2.04054 RunMolproJ zcaposm      r     02/20/2025 07:20:38 Bran@node-d00a-067.myriad.ucl.     1        
 756728 2.04054 RunMolproJ zcaposm      r     02/20/2025 07:54:26 Bran@node-d00a-066.myriad.ucl.     1        
 756729 2.04054 RunMolproJ zcaposm      r     02/20/2025 07:54:28 Bran@node-d00a-127.myriad.ucl.     1        
 756731 2.04054 RunMolproJ zcaposm      r     02/20/2025 08:05:42 Bran@node-d00a-023                 1        
 756732 2.04054 RunMolproJ zcaposm      r     02/20/2025 08:16:58 Bran@node-d00a-029                 1        
 756733 2.04054 RunMolproJ zcaposm      r     02/20/2025 08:16:58 Bran@node-d00a-245.myriad.ucl.     1        
 756736 2.04054 RunMolproJ zcaposm      r     02/20/2025 08:28:15 Bran@node-d00a-234.myriad.ucl.     1        
 756737 2.04054 RunMolproJ zcaposm      r     02/20/2025 08:58:19 Bran@node-d00a-063.myriad.ucl.     1        
 756738 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:19:09 Bran@node-d00a-156.myriad.ucl.     1        
 756740 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:53:53 Bran@node-d00b-025.myriad.ucl.     1        
 756741 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:53:55 Bran@node-d00a-239.myriad.ucl.     1        
 756742 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:53:55 Bran@node-d00a-211.myriad.ucl.     1        
 756744 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:53:55 Bran@node-d00a-161.myriad.ucl.     1        
 756745 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:53:55 Bran@node-d00a-090.myriad.ucl.     1        
 756746 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:53:55 Bran@node-d00a-155.myriad.ucl.     1        
 756747 2.04054 RunMolproJ zcaposm      r     02/20/2025 09:53:55 Bran@node-d00a-038                 1        
 756748 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:04:58 Bran@node-d00a-222.myriad.ucl.     1        
 756749 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:16:07 Bran@node-d00a-054.myriad.ucl.     1        
 756751 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:16:07 Bran@node-d00a-108.myriad.ucl.     1        
 756752 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:36:38 Bran@node-d00a-080.myriad.ucl.     1        
 756754 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:47:00 Bran@node-d00a-103.myriad.ucl.     1        
 756755 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:47:00 Bran@node-d00a-213.myriad.ucl.     1        
 756757 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:47:00 Bran@node-d00a-250.myriad.ucl.     1        
 756758 2.04054 RunMolproJ zcaposm      r     02/20/2025 10:47:30 Bran@node-d00a-233.myriad.ucl.     1        
